Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Xerox corp. (haloid co.),XRX,"",3520.0,66000.0,0.000392273,0.0004,202,1245.0,54.725275,addition,0.0016525,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,18.1625,22.58
Henkel ag and co. kgaa ordinary,HENOF,"",613.0,64000.0,0.000380386,0.0005,203,149.0,32.112069,addition,0.0001412,Q2 2019,CONSUMER STAPLES,13F,09/30/2020,96.8766,107.5
Eastman chemical co.,EMN,"",803.0,63000.0,0.000374442,0.0005,204,69.0,9.400545,addition,0.0005933,Q4 2016,MATERIALS,13F,09/30/2020,78.833,101.31
Dowdupont inc. (dow chemical),DD,"",1114.0,62000.0,0.000368498,0.0006,205,54.0,5.09434,addition,0.0001518,Q3 2017,MATERIALS,13F,09/30/2020,156.9983,69.55
Sandvik ab ordinary,SDVKF,"",3173.0,62000.0,0.000368498,0.0006,206,307.0,10.711793,addition,0.0002530,Q3 2017,INDUSTRIALS,13F,09/30/2020,15.8035,24.23
Arkema sa ordinary,ARKAF,"",586.0,62000.0,0.000368498,0.0005,207,77.0,15.127701,addition,0.0007674,Q3 2017,MATERIALS,13F,09/30/2020,96.0995,109.15
3m co. (minnesota mining & manufacturing),MMM,"",379.0,61000.0,0.000362555,0.0005,208,105.0,38.321168,addition,0.0000658,Q2 2018,INDUSTRIALS,13F,09/30/2020,162.2983,174.52
Sgl carbon ag ordinary,SGLFF,"",15845.0,57000.0,0.000338781,0.0005,209,2186.0,16.0041,addition,0.0129589,Q3 2019,INDUSTRIALS,13F,09/30/2020,4.3296,4.45
Torray industries inc,TRYIF,"",12408.0,56000.0,0.000332837,0.0004,210,3900.0,45.83921,addition,0.0007755,Q3 2017,MATERIALS,13F,09/30/2020,6.6548,5.66
Evonik industries ag shs (deu),EVKIF,"",2173.0,56000.0,0.000332837,0.0005,211,455.0,26.484284,addition,0.0004663,Q3 2018, ,13F,09/30/2020,,
Allegheny technologies inc,ATI,"",6111.0,53000.0,0.000315007,0.0006,212,1027.0,20.200629,addition,0.0048189,Q4 2016,MATERIALS,13F,09/30/2020,12.4554,16.69
Carpenter technology corp.,CRS,"",2649.0,48000.0,0.000285289,0.0005,213,564.0,27.05036,addition,0.0055249,Q4 2016,MATERIALS,13F,09/30/2020,27.6995,28.63
Hexcel corp,HXL,"",1362.0,46000.0,0.000273402,0.0006,214,62.0,4.769231,addition,0.0016310,Q3 2017,INDUSTRIALS,13F,09/30/2020,49.7475,48.79
Siemens energy n ord shs,SMEGF,"",1587.0,43000.0,0.000255572,,215,1587.0,,new,N/A,Q3 2020, ,13F,09/30/2020,,
Thermo fisher scientific  inc.,TMO,"",77.0,34000.0,0.00020208,,216,77.0,,new,0.0000195,Q3 2020,HEALTH CARE,13F,09/30/2020,441.52,458.09
Firstrand ltd (zaf),FANDF,"",13580.0,30000.0,0.000178306,0.0003,217,0.0,0.0,,0.0002421,Q4 2017, ,13F,09/30/2020,,
Snowflake  inc.,SNOW,"",100.0,25000.0,0.000148588,,218,100.0,,new,0.0000361,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,251.0,323.04
Howmet aerospace inc. (aluminum co. of america - alcoa - arconic),HWM,"",0.0,0.0,0.0,0.0042,219,-24629.0,-100.0,soldall,N/A,Q4 2016,INDUSTRIALS,13F,09/30/2020,18.8,27.38
Avient corp. (polyone corp.),AVNT,"",0.0,0.0,0.0,0.0006,220,-1991.0,-100.0,soldall,0.0000000,Q4 2016,MATERIALS,13F,09/30/2020,31.65,40.23
Inovio pharmaceuticals inc,INO,"",0.0,0.0,0.0,0.2236,221,-771427.0,-100.0,soldall,0.0000000,Q4 2016,HEALTH CARE,13F,09/30/2020,3.92,10.26
Vmware inc,VMW,"",0.0,0.0,0.0,0.073,222,-43850.0,-100.0,soldall,0.0000000,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,154.86,142.9
Zillow group inc. class b,ZG,"",0.0,0.0,0.0,3.1116,223,-5033059.0,-100.0,soldall,0.0000000,Q4 2019,COMMUNICATIONS,13F,09/30/2020,47.47,143.86
Aptiv plc,APTV,"",0.0,0.0,0.0,0.0016,224,-1901.0,-100.0,soldall,0.0000000,Q4 2016,INDUSTRIALS,13F,09/30/2020,86.99,128.42
Rakuten inc ordinary,RKUNF,"",0.0,0.0,0.0,0.0226,225,-238613.0,-100.0,soldall,0.0000000,Q4 2017,CONSUMER DISCRETIONARY,13F,09/30/2020,9.35,9.7
Precigen inc. (intrexon),PGEN,"",0.0,0.0,0.0,0.0,226,-474.0,-100.0,soldall,0.0000000,Q3 2019,HEALTH CARE,13F,09/30/2020,5.36,10.02
Eastman kodak co,KODK,"",0.0,0.0,0.0,0.0004,227,-18332.0,-100.0,soldall,0.0000000,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,3.53,8.72
Wirecard ag ordinary,WRCDF,"",0.0,0.0,0.0,0.0001,228,-1324.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,09/30/2020,128.67,0.478
Rakuten inc adr,RKUNY,"",0.0,0.0,0.0,0.0013,229,-13623.0,-100.0,soldall,0.0000000,Q1 2018,CONSUMER DISCRETIONARY,13F,09/30/2020,8.11,9.745
Galmed pharmaceuticals ltd,GLMD,"",0.0,0.0,0.0,0.0119,230,-232172.0,-100.0,soldall,0.0000000,Q3 2018,HEALTH CARE,13F,09/30/2020,6.48,3.6
Bellicum pharmaceuticals inc,BLCM,"",0.0,0.0,0.0,0.0,231,-94.0,-100.0,soldall,0.0000000,Q2 2018,HEALTH CARE,13F,09/30/2020,233.08,3.8
Solaredge technologies inc,SEDG,"",0.0,0.0,0.0,0.0163,232,-10918.0,-100.0,soldall,0.0000000,Q4 2017,ENERGY,13F,09/30/2020,93.98,324.09
Alteryx inc,AYX,"",0.0,0.0,0.0,0.1909,233,-108037.0,-100.0,soldall,0.0000000,Q4 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,127.45,128.94
Sol-gel technologies ltd,SLGL,"",0.0,0.0,0.0,0.0122,234,-127152.0,-100.0,soldall,0.0000000,Q1 2020,HEALTH CARE,13F,09/30/2020,8.34,9.5
Bet shemesh engines holdings ord shs,BTSEF,"",0.0,0.0,0.0,0.0081,235,-44459.0,-100.0,soldall,0.0000000,Q4 2019, ,13F,09/30/2020,,
Lightspeed pos ord,LGHEF,"",0.0,0.0,0.0,0.0127,236,-49601.0,-100.0,soldall,N/A,Q2 2020, ,13F,09/30/2020,,
